,相談年月日,相談区分,対応言語名,相談概要,相談方法
88,2025/5/22,教育全般,日本語（ブラジル）,生徒について,電話
89,2025/5/22,入管手続,スペイン語,在留資格の更新について,電話
90,2025/5/22,税金,スペイン語,国保税の滞納について,電話
91,2025/5/22,社会保険,ポルトガル語,保険料について,電話
92,2025/5/22,その他,ポルトガル語,新幹線の利用等について,電話
93,2025/5/22,その他,ポルトガル語,暴行事件に納得のいく対応について,電話
94,2025/5/23,その他,ポルトガル語,カードのリボ払いについて,電話
95,2025/5/23,社会保険,ポルトガル語,マイナ保険証について,電話
96,2025/5/23,医療,ポルトガル語,ワクチン接種について,電話
97,2025/5/23,その他,タガログ語,銀行ATMカードの不具合,電話
98,2025/5/23,教育全般,タガログ語,奨学金について,来所
99,2025/5/23,入管手続,タガログ語,在留資格について,来所
100,2025/5/23,出産・子育て全般,英語,病院の予約,電話
101,2025/5/26,求職・雇用,ポルトガル語,育児休業期間の有休について,電話
102,2025/5/26,結婚・離婚,タガログ語,お知らせの確認,来所
103,2025/5/26,その他,タガログ語,返済について,電話
104,2025/5/26,入管手続,タガログ語,通訳の依頼,電話
105,2025/5/26,入管手続,タガログ語,在留資格申込書について,電話
106,2025/5/26,身分（その他）,タガログ語,パスポートの名前の変更について,電話
107,2025/5/26,医療,ベトナム語,病院を受診したい,電話
108,2025/5/26,教育全般,日本語（ブラジル）,面談について,電話
109,2025/5/26,教育全般,ポルトガル語,精神不安定について,電話
110,2025/5/26,その他,スペイン語,知り合いが心配,電話
111,2025/5/27,住宅,スペイン語,不動産屋からの連絡について,電話
112,2025/5/27,住宅,ポルトガル語,住宅ローン付き不動産の相続について,電話
113,2025/5/27,雇労（その他）,スペイン語,自主退職を促された,電話
114,2025/5/27,交通・運転免許,ポルトガル語,運転免許証の持ち方変更について,電話
115,2025/5/28,雇労（その他）,スペイン語,解雇について,電話
116,2025/5/28,入管手続,ベトナム語,永住申請の書類の確認,E-Mail
117,2025/5/28,結婚・離婚,タガログ語,家庭裁判所のお知らせ,来所
118,2025/5/28,その他,タガログ語,貸付金についてのお知らせ,来所
119,2025/5/28,入管手続,タガログ語,日系4世に関するお問い合わせ,E-Mail
120,2025/5/28,税金,タガログ語,書類の確認,電話
121,2025/5/28,ＤＶ,日本語（ブラジル）,DVに関する相談について,電話
122,2025/5/28,その他,ポルトガル語,郵便受けにあった物について,電話
123,2025/5/28,その他,ポルトガル語,引っ越しによる問題発生について,電話
124,2025/5/28,医療,日本語（ブラジル）,受診の際の通訳について,電話
125,2025/5/28,医療,日本語（ブラジル）,提出書類について,電話
126,2025/5/29,結婚・離婚,英語,離婚調停の通訳について,E-Mail
127,2025/5/29,出産・子育て全般,英語,病院の予約変更,電話
128,2025/5/29,出産・子育て全般,日本語（ベトナム）,母国語での相談について,電話
129,2025/5/29,その他,日本語（ブラジル）,生活保護にかかる相談について,電話
130,2025/5/29,結婚・離婚,ポルトガル語,法テラスについて,来所
131,2025/5/29,労災,スペイン語,労災の可能性について,電話
132,2025/5/30,雇労（その他）,スペイン語,会社とのやりとりについて,来所
133,2025/5/30,ＤＶ,ポルトガル語,子供に会いたい,電話
134,2025/5/30,その他,スペイン語,未配送に関する訴訟について,電話
135,2025/5/30,その他,ポルトガル語,美容院での通訳,電話
136,2025/5/30,入管手続,タガログ語,戸籍謄本の請求について,電話
137,2025/5/30,出産・子育て全般,英語,病院食について,電話
