,相談年月日,相談区分,対応言語名,相談概要,相談方法
95,2025/11/21,入管手続,日本語（日本）,フィリピン女性と結婚後来日について,来所
96,2025/11/21,交通・運転免許,ポルトガル語,転院先について,電話
97,2025/11/21,入管手続,スペイン語,ビジネスビザについて,電話
98,2025/11/21,交通・運転免許,ポルトガル語,受講日について,電話
99,2025/11/21,出産・子育て全般,ベトナム語,保育園の延長申請について,電話
100,2025/11/21,その他,英語,入管と弁護士相談について,電話
101,2025/11/21,日本語学習,英語,日本語教室の申込み,電話
102,2025/11/21,医療,英語,病院の予約がとりたい,電話
103,2025/11/21,その他,英語,服を寄付するところ,電話
104,2025/11/25,入管手続,日本語（ブラジル）,新しい入管法について,電話
105,2025/11/25,住宅,日本語（ベトナム）,自治会の規約翻訳,電話
106,2025/11/25,求職・雇用,日本語（日本）,当センターでの求人対応,電話
107,2025/11/25,入管手続,ポルトガル語,入管の手数料について,電話
108,2025/11/25,求職・雇用,ポルトガル語,デビットカードについて,電話
109,2025/11/25,入管手続,タガログ語,ビザ更新について,電話
110,2025/11/25,入管手続,ポルトガル語,1ビザの更新について 2永住権にかかる費用,電話
111,2025/11/25,年金,ポルトガル語,年金について,電話
112,2025/11/25,求職・雇用,ポルトガル語,会社員としての悩み,電話
113,2025/11/25,税金,ポルトガル語,税金について,電話
114,2025/11/25,医療,スペイン語,病状がひどい,電話
115,2025/11/25,入管手続,スペイン語,夫のビザ,電話
116,2025/11/25,その他,スペイン語,ニュースや噂について,電話
117,2025/11/26,雇労（その他）,ポルトガル語,解雇後の手続きについて,電話
118,2025/11/26,結婚・離婚,日本語（中国）,妻の金銭トラブルについて,来所
119,2025/11/26,入管手続,日本語（その他）,特定技能制度について,電話
120,2025/11/26,医療,日本語（その他）,ヒンディー語について　,電話
121,2025/11/26,交通・運転免許,ポルトガル語,外免切り替えについて,電話
122,2025/11/26,医療,スペイン語,障害者手帳について,電話
123,2025/11/26,医療,日本語（ベトナム）,検診の結果についてベトナム語通訳依頼,電話
124,2025/11/26,入管手続,タガログ語,ビザの更新について,電話
125,2025/11/27,医療,ポルトガル語,病院の予約について,電話
126,2025/11/27,社会保険,日本語（ブラジル）,傷病手当について,電話
127,2025/11/27,雇労（その他）,ポルトガル語,労働基準監督署について,電話
128,2025/11/27,税金,日本語（ブラジル）,市民税について　,電話
129,2025/11/27,社会保険,ポルトガル語,健康保険証について,電話
130,2025/11/27,雇労（その他）,ポルトガル語,解雇取り消しについて,電話
131,2025/11/27,出産・子育て全般,ポルトガル語,子育て支援について,E-Mail
132,2025/11/27,医療,スペイン語,父の医療費について,来所
133,2025/11/27,住宅,日本語（ベトナム）,家の立て直すことについて,電話
134,2025/11/27,その他,日本語（ブラジル）,携帯の解約,来所
135,2025/11/27,税金,日本語（ブラジル）,市県民税の支払いについて,来所
136,2025/11/27,その他,日本語（ネパール）,ネパール語対応,電話
137,2025/11/28,教育全般,ポルトガル語,大学でのトラブル,電話
138,2025/11/28,入管手続,ポルトガル語,永住ビザについて,電話
139,2025/11/28,交通・運転免許,ポルトガル語,損害賠償について,電話
140,2025/11/28,その他,ポルトガル語,銀行の窓口にて通訳依頼,電話
141,2025/11/28,雇労（その他）,スペイン語,就労問題について,電話
142,2025/11/28,出産・子育て全般,日本語（ベトナム）,母子手帳の発行についてベトナム語通訳依頼,電話
143,2025/11/28,その他,日本語（中国）,未成年の子のサポートについて,電話
